player_id,player_name,cluster_id,pc1,pc2
15,Moisés Caicedo,0,-2.8539053293277408,1.6388598444950881
30,Bruno Guimarães,2,0.8453426715471435,1.6041572595052382
31,Mattéo Guendouzi,2,-0.41959931502650155,2.7083956227080765
40,Remo Freuler,0,-2.2372672860133225,0.9567302459285896
44,Cole Palmer,3,5.77086070869481,0.6658734225791906
46,Jesper Karlström,0,-2.8334856120446186,-0.7241235252574517
50,Ryan Gravenberch,0,-1.8634886176721905,1.3314967038710013
55,Tijjani Reijnders,3,2.223722069641384,1.122481830455246
63,Morten Frendrup,0,-3.304702973830969,-0.8560749783315766
74,Idrissa Gana Gueye,0,-3.328353792545535,0.13460296885373885
92,Marten de Roon,0,-2.7109299878322592,1.6265208818502053
94,Kaishu Sano,0,-1.8563810327960077,0.3528901084264378
97,Federico Valverde,2,-0.7365713071809606,2.457737931219396
99,Youri Tielemans,2,-0.11409918492458054,1.7493972157957312
101,Bruno Fernandes,3,3.2422189861840875,3.930597552063233
105,Simon Sohm,1,-0.32545611370426897,-0.6152653805085431
110,Lewis Cook,0,-1.9202839669843803,0.5778572745793699
111,João Gomes,0,-1.2743407575131545,0.6965731111201593
122,Aimar Oroz,3,2.0077356263856685,0.16291867703682772
124,Martín Zubimendi,0,-2.0349267783867533,0.5424986755553964
128,Lucas Torró,0,-3.155740258123271,-1.485127149601242
131,Enzo Fernández,2,1.986386185398706,1.7141309566707363
136,Scott McTominay,1,1.5298035866014916,-1.4776544826782114
145,Mikkel Damsgaard,2,1.9621955529941428,1.8876109607040186
146,Mateus Fernandes,2,0.5574708256041411,0.24654865040514692
149,Granit Xhaka,2,-0.6457060955577685,4.1045938241326665
151,Éderson,2,-0.2853920537936833,2.0623237980467013
152,Philipp Treu,0,-0.6804266829091407,-0.28703596280575955
153,Julian Weigl,0,-3.9591766729165925,-0.1204359299182625
163,Pedri,2,1.496164225085093,6.028624389656984
165,Luis Milla,2,-0.2904846697713888,0.6364388154930397
170,Hans Nicolussi Caviglia,0,-1.1997000319357003,-0.4693911107429747
172,Andrey Santos,0,-2.040124018229867,0.6800020281687629
173,Valentin Atangana Edoa,0,-2.063030788163384,-1.6679372465841773
174,Andre-Frank Zambo Anguissa,0,-0.390627861844904,0.02961455334070745
176,Joshua Kimmich,2,0.5616770605266049,6.167554112414547
178,Maximilian Eggestein,0,-1.8484913509299983,0.04875782120005666
181,Himad Abdelli,2,1.1245379434397709,1.7732595583053365
185,Romano Schmid,3,3.7442176851927798,2.692317708849875
186,Luis Rioja,1,2.315649626912955,-1.0468310326013637
189,Samuele Ricci,0,-1.8496006900274193,-0.579561413557753
190,Declan Rice,2,1.171381861093646,1.9267066108335715
192,Manuel Locatelli,2,-2.0446539199122036,2.733405049566355
193,Christian Nørgaard,0,-2.40580059306125,0.24736757882697746
200,Morgan Gibbs-White,3,2.402712925210511,0.1957126859489725
201,Thomas Partey,0,-1.762015383871403,1.2547985864725533
212,Andrej Kramarić,3,3.491643875315711,0.11502190277185459
218,Sam Morsy,0,-3.14622752750715,-0.038325270285165296
219,Sergi Darder,1,1.1121093029323867,-0.023575540888138236
222,Angelo Stiller,2,-0.17992926130793815,3.647327614202064
223,Sergio Gómez,1,0.3236613054277307,0.03472419967862996
225,Diego López,1,2.6654721366634933,-1.6985179655776788
227,Senne Lynen,0,-4.113915451261055,-0.4759160766413779
228,Óscar Mingueza,2,1.2229360627188872,1.8167596982253122
229,Elliot Anderson,2,-0.17376690112271168,0.8405429347787919
230,Antonio Blanco,0,-3.0480673685363304,-0.48822903499775505
232,Rani Khedira,0,-2.9597549154065335,-2.455732933165729
233,Nicolò Rovella,0,-2.519546774888789,1.559128691619748
235,Alex Král,1,-0.6698173634057671,-2.3607128770076753
239,Ismaila Sarr,3,3.9783924609803574,-2.3859802463773865
246,Cristian Cásseres Jr.,0,-2.3641167327854853,0.11155864662751674
248,Benjamin André,0,-2.6202001867074705,1.948259432772949
249,Gaëtan Perrin,3,3.8454557885124907,-0.07548280409686424
253,Nicolás Paz,3,4.082873694487015,0.3061207928747998
258,Jan Schöppner,0,-0.8322528251252662,-1.2318983851900918
265,Bernardo Silva,2,1.7913182724727656,1.4585109042133646
266,Lassana Coulibaly,0,-1.965921176546926,-1.5663185786025329
269,Pierre Højbjerg,2,-1.7800373629284503,3.982202246479835
270,Mauro Arambarri,1,-0.07293163099794135,-2.7208914647772193
271,Carlos Baleba,0,-1.8139093921959168,0.574202661000797
272,Mahdi Camara,1,0.20195097461220526,-0.6469191935160594
276,Lee Jae-sung,1,0.6950142705125871,-0.9365251113793103
277,Samu Costa,0,-2.086387146513811,-0.7146159180577081
285,Stanislav Lobotka,0,-2.9050643649390326,0.8610969882901363
289,Sandro Tonali,2,-0.8413407927980535,0.6955800883546936
294,Atakan Karazor,0,-2.6556438178294637,0.9680576054936689
298,Adrien Thomasson,2,0.5436272180890259,1.6622834070893089
301,Lucas Da Cunha,2,0.3293758200856068,1.7352712570970148
304,Jackson Irvine,1,-0.7025167715242314,-1.4112618716534
308,Ibrahima Sissoko,0,-1.2674270868844741,-1.1298198489818925
316,Alessandro Bianco,0,-1.903793725240464,-0.0911652022720892
317,Alexis Mac Allister,2,-0.31162986520429303,1.3887145888235066
320,Matheus Cunha,3,5.410657040444394,-0.025802951229063262
321,Alex Baena,3,4.667789132645754,1.3796315708614348
327,Eberechi Eze,3,4.492022560492685,-0.43597746486935796
