position_group,cluster_id,n_players,feature,mean_z,median_z,mean_raw
GK,0,86,gk_save_pct,0.16167267880603245,0.1871250533873961,67.5931760774015
GK,0,86,gk_cross_stop_pct,-0.16997171577683817,-0.30446916643694266,5.81172398446511
GK,0,86,gk_def_actions_outside_pen_p90,-0.26174495583432167,-0.2445923157930628,0.9408685246224715
GK,0,86,passes_attempted_p90,-0.6264604495245777,-0.6751305361237725,32.10004715643282
GK,0,86,pass_completion_pct,-0.04864089312561943,0.0486624383734582,72.35423479320113
GK,0,86,pass_prog_dist_p90,-0.6287040356862741,-0.5612725184456586,427.5201016876352
GK,1,68,gk_save_pct,-0.20446838790174476,-0.0914333630633822,65.50943275754368
GK,1,68,gk_cross_stop_pct,0.21496422877658952,-0.0372287085715671,6.797563008661236
GK,1,68,gk_def_actions_outside_pen_p90,0.33103038531987705,0.2723687039809489,1.2977811712341545
GK,1,68,passes_attempted_p90,0.7922882155752009,0.7676824816178434,38.992229660204984
GK,1,68,pass_completion_pct,0.06151642365887082,-0.045062162575765397,73.30728190510268
GK,1,68,pass_prog_dist_p90,0.7951256921914626,0.7912484283545207,558.8262052448944
DEF,0,239,tackles_p90,-0.4290492947305563,-0.5598436219445629,1.4985586925395222
DEF,0,239,tackle_success_pct,-0.19855272572206203,-0.1501095498635201,60.39900029651778
DEF,0,239,high_tackle_share,-0.5646093236672085,-0.6098250600822047,37.245202644437555
DEF,0,239,interceptions_p90,0.2857413648981842,0.2023048594423092,1.1667436583559299
DEF,0,239,blocks_p90,0.40039414438864035,0.3876318408189968,1.357098145871578
DEF,0,239,clearances_p90,1.0034999892016072,0.9301798439471084,5.439100227353658
DEF,0,239,recoveries_p90,-0.549799152739538,-0.5751455772272136,3.351309882541587
DEF,0,239,aerials_won_p90,0.7601785550049104,0.6800566134068823,2.2329750994715623
DEF,0,239,aerial_win_pct,0.4270569272437828,0.4516960309218973,58.75591038101183
DEF,0,239,challenge_success_pct,0.31904721372121436,0.3439608984514128,63.081645436091186
DEF,0,239,fouls_committed_p90,-0.018224217462065668,-0.138203323520963,1.0265221461428151
DEF,0,239,passes_attempted_p90,-0.33420821354345565,-0.3449671960874936,49.4837797576775
DEF,0,239,pass_completion_pct,0.3926852808158835,0.4889812802314914,85.41467604908034
DEF,0,239,prog_passes_p90,-0.6867097064075189,-0.7007779447779495,2.5954567452784554
DEF,0,239,prog_carries_p90,-1.0006550811286752,-1.0151126952622591,0.4301875304750867
DEF,0,239,crosses_p90,-0.8934616725132831,-0.9746125657249723,0.18161932752523055
DEF,0,239,takeons_won_p90,-0.671933924433665,-0.7747842423773247,0.17790995627383796
DEF,0,239,touches_att_third_p90,-0.923271526242023,-0.963640291058146,2.7706902308921983
DEF,0,239,key_passes_p90,-0.8030819558898463,-0.8011322187449348,0.2088104467107227
DEF,1,151,tackles_p90,0.14797541641349252,0.1523882485678105,1.8779761246761126
DEF,1,151,tackle_success_pct,-0.1087696342526306,-0.1798800724602269,61.041531826619476
DEF,1,151,high_tackle_share,0.15772083329847064,0.139561106267834,43.56257322519904
DEF,1,151,interceptions_p90,-0.5247615344929093,-0.5010261687250319,0.8336179959387231
DEF,1,151,blocks_p90,-0.3251608916477942,-0.4555618128351632,1.0736671248402965
DEF,1,151,clearances_p90,-0.5766914183222329,-0.5878577867409446,2.9654567951399855
DEF,1,151,recoveries_p90,-0.38929391327038015,-0.2929608874076125,3.5084890076677233
DEF,1,151,aerials_won_p90,-0.6944608835358914,-0.8011892674849453,0.9189099135312954
DEF,1,151,aerial_win_pct,-0.7883079435576641,-0.8960116775506972,47.4566580255445
DEF,1,151,challenge_success_pct,-0.4513272504460768,-0.4526803725034624,57.2147675034922
DEF,1,151,fouls_committed_p90,-0.0024160782960728116,-0.1109386723463026,1.0334041749691387
DEF,1,151,passes_attempted_p90,-0.7799638826907614,-0.8014438868009478,43.79990521369009
DEF,1,151,pass_completion_pct,-0.9297527197479886,-0.8353280947971724,76.7595881057177
DEF,1,151,prog_passes_p90,-0.42123316849891385,-0.4418035730822889,2.9671925082343757
DEF,1,151,prog_carries_p90,0.4594735698583862,0.545027731253039,1.6066037036223475
DEF,1,151,crosses_p90,0.8054904653771219,0.8340101972321362,2.6849343273218897
DEF,1,151,takeons_won_p90,0.235506240816703,0.1520341791493084,0.49316572334603587
DEF,1,151,touches_att_third_p90,0.45906119070235757,0.4546296834441866,13.578336669067467
DEF,1,151,key_passes_p90,0.46734034340197533,0.4702582821719581,0.7697208600235254
DEF,2,150,tackles_p90,-0.4172435157963959,-0.39819732227744,1.506321476768798
DEF,2,150,tackle_success_pct,0.22453581842693027,0.15472312829287593,63.42682797755841
DEF,2,150,high_tackle_share,0.06744749466170438,0.0525240013361879,42.77305872378785
DEF,2,150,interceptions_p90,-0.03364008776597206,-0.14929740906308053,1.0354743463492146
DEF,2,150,blocks_p90,-0.32932990508446913,-0.3874949227405263,1.0720385402721224
DEF,2,150,clearances_p90,-0.010991154530970604,-0.14767226710546955,3.851008213446687
DEF,2,150,recoveries_p90,0.37513608549110955,0.17787001746413986,4.257077893755723
DEF,2,150,aerials_won_p90,0.34605237516800996,0.32147438541548473,1.8588694750179844
DEF,2,150,aerial_win_pct,0.5173728712217305,0.5872980284564944,59.5955780950014
DEF,2,150,challenge_success_pct,0.20988317063458622,0.2790123501800296,62.250293742586535
DEF,2,150,fouls_committed_p90,-0.2770184331079991,-0.38157907871479557,0.9138568138440871
DEF,2,150,passes_attempted_p90,1.1752482196281582,1.1074514156178143,68.7310077563122
DEF,2,150,pass_completion_pct,0.9376630784081161,0.9874660326944755,88.9814449738463
DEF,2,150,prog_passes_p90,0.864236499896932,0.7106552194470891,4.767182261386622
DEF,2,150,prog_carries_p90,-0.17088087696971813,-0.2839337808241665,1.0226985663273682
DEF,2,150,crosses_p90,-0.6564295006555219,-0.7931304053593187,0.4223681828115087
DEF,2,150,takeons_won_p90,-0.37487913515787036,-0.4758401203990103,0.278072040137497
DEF,2,150,touches_att_third_p90,-0.5321947923689632,-0.657186488577173,5.828289185244701
DEF,2,150,key_passes_p90,-0.4905001588792453,-0.527667694477517,0.3273922158829311
DEF,3,105,tackles_p90,-0.014779142479185397,-0.0110672935939021,1.7709583217796823
DEF,3,105,tackle_success_pct,0.02764225129242755,0.1601500464745673,62.01776171700104
DEF,3,105,high_tackle_share,0.7649214938288362,0.7803993694702224,48.87304178651057
DEF,3,105,interceptions_p90,-0.46354505762049303,-0.5598473143340055,0.8587786454864198
DEF,3,105,blocks_p90,-0.47427827635133907,-0.5398833024107826,1.0154158682148544
DEF,3,105,clearances_p90,-1.0891547455585422,-1.1043467659638504,2.1632428749574477
DEF,3,105,recoveries_p90,0.7036491952112739,0.6699524901733352,4.578783299442521
DEF,3,105,aerials_won_p90,-0.9378201275666767,-1.0066827389204067,0.6990685550580309
DEF,3,105,aerial_win_pct,-0.5573294099434463,-0.6080443782417945,49.60406643161584
DEF,3,105,challenge_success_pct,-0.553317581279468,-0.549707193965915,56.43804806491152
DEF,3,105,fouls_committed_p90,-0.4041508938837809,-0.4840718939611321,0.8585100554031841
DEF,3,105,passes_attempted_p90,0.3868789000298966,0.2766369915459175,58.67843273130576
DEF,3,105,pass_completion_pct,-0.32947350222751637,-0.2640682918869435,80.68829358453584
DEF,3,105,prog_passes_p90,0.8066182153055678,0.6229789602113305,4.686501772061587
DEF,3,105,prog_carries_p90,1.3031611086103752,1.235367232638244,2.644631274473422
DEF,3,105,crosses_p90,1.2345866573273279,1.2456421386756398,3.9083837141753537
DEF,3,105,takeons_won_p90,1.1607628565804355,1.0681814904517222,0.9016362817183897
DEF,3,105,touches_att_third_p90,1.605252871046032,1.5105284503760217,22.53973523808568
DEF,3,105,key_passes_p90,1.4404793113719887,1.4672807107263734,1.3265595253692124
DEF,4,103,tackles_p90,1.4013284552615524,1.177917085845023,2.702107192854243
DEF,4,103,tackle_success_pct,0.2650049230094734,0.2184696975829496,63.716444599838766
DEF,4,103,high_tackle_share,0.2008922473505875,0.1868579533818615,43.94014270424222
DEF,4,103,interceptions_p90,0.6278160166292326,0.4558038484531246,1.3073401263508637
DEF,4,103,blocks_p90,0.5107164942669179,0.4937031124382769,1.4001944993051998
DEF,4,103,clearances_p90,-0.35675894941004277,-0.3326362000432632,3.309740724710061
DEF,4,103,recoveries_p90,0.5828330105604551,0.4531406396647991,4.460470761687997
DEF,4,103,aerials_won_p90,-0.2937458651743136,-0.3868336336915436,1.2809004117681506
DEF,4,103,aerial_win_pct,-0.02056746381800711,0.0022647109415106,54.59434451994306
DEF,4,103,challenge_success_pct,0.17974758424411705,0.2453942563718544,62.02079261683039
DEF,4,103,fouls_committed_p90,0.861252666214926,0.7222280111930375,1.409399928403923
DEF,4,103,passes_attempted_p90,-0.18698260314729642,-0.2192423627985113,51.3610680505095
DEF,4,103,pass_completion_pct,-0.5778045190328073,-0.5908652614699971,79.0630175499709
DEF,4,103,prog_passes_p90,0.13009165711755816,-0.0058898556093597,3.739189748749977
DEF,4,103,prog_carries_p90,0.5687016551699555,0.5513851046112994,1.716683029975515
DEF,4,103,crosses_p90,0.5897194712396905,0.6059632901473846,2.158949859067773
DEF,4,103,takeons_won_p90,0.576529474845229,0.5632233657060065,0.6310458789087515
DEF,4,103,touches_att_third_p90,0.6079740036048418,0.6183253447416821,14.742598363981063
DEF,4,103,key_passes_p90,0.4242028324446886,0.3038567335061119,0.7494884861759799
MID,0,224,tackles_p90,0.5602818681989035,0.425620853704026,2.378738534399818
MID,0,224,interceptions_p90,0.7355870483781617,0.680162473210913,1.188978111959654
MID,0,224,recoveries_p90,0.18870871780034865,0.18436572477673047,4.893884937696572
MID,0,224,fouls_committed_p90,0.3559998938217636,0.197032561713775,1.5639684769723554
MID,0,224,passes_attempted_p90,0.029435357447222272,0.043517934011059745,45.129325656865156
MID,0,224,pass_completion_pct,0.4024630378869884,0.5519761974688783,83.24535178575755
MID,0,224,prog_passes_p90,-0.310784143521808,-0.30812311307891543,3.982240769638492
MID,0,224,prog_pass_share,-0.5114631301212916,-0.5686994232560898,10.74598020470096
MID,0,224,key_passes_p90,-0.7556646943038677,-0.821035085958501,0.6687116610859093
MID,0,224,prog_carries_p90,-0.7828985125361656,-0.7786846687228874,0.90640556754539
