player_id,goals_p90,assists_p90,npxg_p90,shots_p90,shot_accuracy_pct,npxg_per_shot,xag_p90,key_passes_p90,gca_p90,takeons_attempted_p90,takeon_success_pct,prog_carries_p90,prog_passes_received_p90,touches_att_pen_p90,crosses_p90,aerials_won_p90,fouls_drawn_p90,tackles_p90,recoveries_p90,passes_attempted_p90
12,1.0895581329690007,0.3337837612734556,-0.6326101712839776,-0.34465134998956337,0.7522119264887361,-0.7862654274208841,0.8320148427899754,0.9888117889445878,0.9114923534955479,0.2736232494184472,0.8918710573852437,0.7505513208837912,0.9609321760441146,-0.02955568313767629,1.4988277966420014,-0.3119579086624899,-0.3947887365946729,0.5029457642248016,0.9457333580758791,0.8530836602219677
14,2.0932178365772782,2.8615910654346663,1.2980454003205248,1.1973227916552907,0.5345819442555597,0.7228510585469087,2.4748383630672044,1.8308497776770112,1.8569038348668891,0.6810543427911387,0.31832166052330013,1.063994258453735,2.4510211182974637,3.4414312869480814,0.3485198973717125,-1.1683111923157625,-0.5917660157612169,-0.8409895830370542,-0.363015701510248,0.7647879315653461
41,0.05765667382830532,-0.04227653055418197,-0.030746350982623346,1.575916028986385,-0.8018534978656529,-1.2375084500981224,0.20861266513965043,0.06543445790768795,0.12065334362948414,0.7495167333492094,1.4565260502085164,0.9868375222060923,0.4363387768617523,0.6118948589768831,0.09446515819076409,0.5129758965139609,-0.5944709798874502,0.8701909015233855,1.248078125892111,0.5640081744829686
57,-0.05201128730731002,-0.9961684388284474,0.40842112350714016,0.6080381137083373,-1.2239931945658957,-0.01854013497409714,-1.4585858605146738,-1.46857841045043,-0.5386951971949064,-0.5212998509577954,-2.114767301540837,-1.1360492232545683,-0.8166277752797616,-0.22395254578517415,-1.153207166573851,1.2755001984907763,0.18952888568673168,-1.2861770358106825,-1.418855666956186,-1.5500658964094813
60,-0.3529239991941684,1.22595126457884,-0.6848251282993094,-1.0069091701467698,-0.15510523658967654,-0.11008483320753183,0.904122406200186,0.36851992041340903,0.5950115426123044,1.1307701964588859,0.17786203235206977,0.684418723666939,-0.5464623889174445,-0.25164866803054065,-0.5545659756357441,-0.9592735635989729,0.07832347646957466,0.4273972030233406,0.32352668862826733,0.04395584651514584
65,0.11416328398819114,-0.7448424023354827,-0.10295179523544444,0.4940888071211774,0.45935131156107367,-0.6626574414405003,-0.1621922237924681,0.5318965062764475,-0.3838376593288351,1.2290614021035782,1.3676725019976865,0.9328157755438491,0.14654545952741102,-0.171966321902927,0.9862550752106064,-0.7529040717393277,0.2526723599854221,-0.6667696368982879,0.3730488312888505,0.4881157483432791
67,-0.8358030467725424,0.0007899658936441048,-1.5706786737984262,-1.7737187138364647,-0.04349531506813682,-1.1022347823559788,0.14223166620143976,0.969472213023152,-0.3838376593288351,0.36841013884996615,-0.9918774897895121,0.5441376949789074,-0.09468776082158391,-1.3463381111410078,2.0391941283398247,-0.215042084974207,0.5155183245844637,0.6175199529477141,0.7227968039311592,0.7186127762784396
93,0.13272730491027707,0.015018039652241515,0.001263999680203006,2.157180910758725,-1.331327696283764,-1.4569930553514072,-0.7093818846805514,-0.6182725033011409,-0.6567082735345152,-0.43767333732272473,-1.6494629760773256,-0.7381800035845748,-0.9596131508025726,0.0020052789057326027,-1.1462803778940323,1.024822476810411,0.27714570339088734,-0.9105610451093389,-0.8961505754342629,-0.8300995154571624
108,-0.1362093550855162,0.3048625642310733,-1.0599421305584062,-0.3844114897658892,0.6871134480110639,-1.449155364474956,0.7503219167451819,0.8818070214855052,0.6957554108318691,0.27505700491930585,1.2159873037287399,1.162400308198084,0.24028195071747638,-0.6632248328656528,1.0532950032412898,-1.215942747378417,-1.565967652202469,0.5584792888122466,1.0513719965611117,1.6768213314193272
112,0.32858036777863675,-0.20830801497491355,-0.3724844531785485,-0.45922336587605533,-1.1803477812611374,-0.20077896194143827,-0.6432931978406248,-0.9814883224224967,-0.628623733697925,-0.4936904177997638,-0.6437981987609305,0.04909087803417456,-1.341248665436026,-0.9473089768678472,-0.5214852008408635,-1.1168116457401867,-0.9971540173510745,-0.6130037866922775,0.08157711025695345,-0.6510049100957216
