player_id,tackles_p90,tackle_success_pct,high_tackle_share,interceptions_p90,blocks_p90,clearances_p90,recoveries_p90,aerials_won_p90,aerial_win_pct,challenge_success_pct,fouls_committed_p90,passes_attempted_p90,pass_completion_pct,prog_passes_p90,prog_carries_p90,crosses_p90,takeons_won_p90,touches_att_third_p90,key_passes_p90
0,-1.2272876483693038,0.6335715431499949,-2.095506181491285,-1.0803544509366667,-0.10954663799667262,1.513106525244039,-1.4728691890815304,1.31794755021611,1.0861442829842076,1.7187112276987406,-0.502280808493056,-0.8406323349530721,0.5069513364287676,-1.2059250681072342,-1.1177749654423483,-0.9375739342536029,-0.8972357638993264,-1.0319429060651295,-1.0957276492433201
1,-1.1072231004590722,-0.20220796440775599,0.027636279412480046,-0.37605788414675634,2.1135243083107964,1.328187461106977,0.3813447471862561,1.696650078253767,0.8381748377954658,0.03473589982643479,-0.6231764550418658,-0.11830036064222246,0.4643007260155615,-0.15348776944599682,-0.32422325999090834,-0.8306562232035886,-0.7089395306913164,-0.7088189966090146,-0.6269758421880044
6,-1.42739522821969,2.070065228147904,0.4071345573840829,-0.4400848447640208,0.025184934506810225,0.05056483616000105,-0.3710898936180633,0.06531611132232086,0.08159933899905611,0.5165411158918365,-0.13959386884662603,0.9280490992880658,1.408242532904766,-0.5293582332535816,-0.4339895428618856,-1.1335447264738372,-1.3023374818483335,-0.9915524173831152,-0.7763781345948938
13,-1.140828953563717,1.9661482441107851,0.8266764650290666,-0.8171408565259387,-0.16500572920333215,0.550447471504091,-0.32930550202235226,1.9154145495972608,1.4858469312004137,0.297657344731355,0.17308074960565467,1.548080300268785,1.2436949304336287,1.0074399147023918,-0.39232382346282285,-1.0921975355042735,-0.8956515607173329,-0.8788460356502972,-0.5513556813358796
16,-1.1136781836800522,-0.03004265443929617,1.526719224260371,-0.06762693407649259,0.9176005115191276,1.1694788215054706,0.03575648666322714,1.6509175976139838,1.2771258011347042,2.335299557073744,-0.9559644713482675,-0.08712136144385868,0.5822225049841364,-0.3709268119497394,-0.3361847598735154,-0.9716342212839125,0.14570392131086934,-0.8891285079116988,-0.1912101160784218
17,-0.5745626361091233,-1.384248765726364,0.9329561282280956,0.40078721715552224,-0.4492834449209234,-0.6442422426283729,0.6838072331930277,-0.8754673133379134,-1.732162201204785,0.24857036833542787,-0.5170666069918314,-0.45734353912913434,-1.0713620208345196,0.5231466680090596,1.529371536060014,1.3634375147003506,0.583654508104436,1.2447560994068905,0.8869249562092626
18,-1.1050597752715006,-0.03004265443929617,0.1266337057977611,-0.7775242318009559,-0.5829278386845859,0.9301798439471083,-1.1293348405289787,2.656397233509285,1.1686668875825648,-0.5361732328522316,-0.2653906902555228,0.036931290671066846,0.850561835464911,-1.0926559959057591,-1.151196766097503,-1.0099487706208679,-0.9867772999891944,-0.8282620408420885,-0.682761279673656
19,0.004726045952803751,0.5889515210816175,0.4743957933955198,-0.5144945557516527,-1.7590980527014781,-1.0035192640807475,-1.3777254265860035,-0.36534975736083614,-0.4984452692562868,0.4434105613967777,0.47958788847768424,0.5244356501673475,0.12029647575029045,1.783260985281464,0.2874268203040481,0.4426883464787326,-0.886830516322505,0.9589261137679428,0.9861774812569535
21,-0.6118216325051428,-0.578116499223287,-1.2219977581266819,-0.7775242318009559,-0.23699542279726532,1.1373618912358068,-1.6261160126430276,1.3100743167849735,1.7550231993502328,1.8904703514817398,-1.1345323654442647,-2.02542410841537,-0.08344256700374411,-1.5558909458956476,-1.6597522072166755,-1.1335447264738372,-1.1943940428081923,-0.9699926295055534,-0.682761279673656
23,-1.1461629538353635,-1.015148480709696,1.1825920027917045,1.129440919556492,-1.2056061872817643,0.8093236496953672,-0.7981473924529472,1.8486034834746976,1.7688215236773701,-0.15882132395404375,-1.3207770101275667,2.0060249862016932,1.3312933018352935,1.2814231227924184,-0.6858026978400683,-1.0912663488673164,-0.9867772999891944,-0.7038156703083146,-0.46097654635526636
24,-0.8144942979350784,-0.10798039246713434,-0.6962793472193738,0.1471338511828913,-0.4406013590052307,0.6586363561535621,0.3398840628970387,1.0449488047296231,0.5909523375433698,-0.7739673001762999,0.7325818669697894,0.16220030889220355,0.14625056636596184,0.22399356777790677,-0.727276123510954,-0.8227982383232657,-0.8862367378964835,-0.8933650627537422,-0.3190920666784179
25,-0.3986770690032908,0.2932834365457829,-1.4948189592887717,-0.24383709834659661,-0.5052572040599304,-0.25379262539731584,1.2891534330669192,-0.4809574799478889,-0.9731412045899149,1.758389084524633,-1.5041411009009331,0.1509737320840221,1.1649368464945513,-0.15831780116681435,-0.18276624294308533,-1.049816811161855,-0.7876956287584385,-1.0209974771120065,-1.447063025388537
28,-0.28554241859553925,0.6470602849389523,1.433941833441358,0.38714661253667054,-0.12081195715015276,-0.330641246344094,-0.1298181293547491,-0.0699557454216297,0.21801076210988768,-0.8677929257972292,-1.3667935132234612,1.6457118471657308,1.1183196148501247,2.6377318003680914,1.283671031688643,-0.3842596109288831,0.8134314774149619,1.5852414091209766,0.44459685865832604
32,-0.6803269301115816,-0.6430492167885298,-0.6414497747776927,-0.3227020836323693,-0.9403913351014844,0.38584738174184624,-0.0292098683319738,0.1640377105116245,-0.1573773820711216,0.33651016963460445,-0.9086245093932228,-0.7991269103974327,0.1557487799252229,-0.6358548646657307,-0.6599802453286673,-0.8154124018717082,-1.1914363232185465,-0.9898694803546978,-0.7426237974877898
