player_id,player,squad,squads,league,leagues,season,nation,born,age,pos_raw,pos_group,pos_secondary,n_teams,nineties,matches,starts,minutes,goals,assists,goals_p90,np_goals_p90,npxg_p90,assists_p90,xag_p90,shots_p90,shots_on_target_p90,key_passes_p90,sca_p90,gca_p90,passes_attempted_p90,passes_final_third_p90,passes_penalty_area_p90,prog_passes_p90,prog_passes_received_p90,pass_prog_dist_p90,through_balls_p90,switches_p90,crosses_p90,crosses_penalty_area_p90,touches_p90,touches_att_third_p90,touches_att_pen_p90,carries_p90,prog_carries_p90,carries_final_third_p90,carries_penalty_area_p90,takeons_attempted_p90,takeons_won_p90,dispossessed_p90,miscontrols_p90,tackles_p90,tackles_won_p90,interceptions_p90,blocks_p90,clearances_p90,recoveries_p90,aerials_won_p90,fouls_committed_p90,fouls_drawn_p90,gk_def_actions_outside_pen_p90,pass_completion_pct,takeon_success_pct,shot_accuracy_pct,tackle_success_pct,aerial_win_pct,challenge_success_pct,high_tackle_share,prog_pass_share,prog_carry_share,npxg_per_shot,gk_save_pct,gk_cross_stop_pct
0,Federico Baschirotto,Lecce,Lecce,Serie A,Serie A,2024-2025,ITA,1996.0,27.0,DF,DEF,,1,38.0,38,38,3420,2,0,0.05263157894736842,0.05263157894736842,0.031578947368421054,0.0,0.005263157894736842,0.5789473684210527,0.21052631578947367,0.10526315789473684,0.4473684210526316,0.02631578947368421,43.026315789473685,1.3421052631578947,0.13157894736842105,1.868421052631579,0.13157894736842105,255.44736842105263,0.0,0.39473684210526316,0.13157894736842105,0.0,53.76315789473684,1.9210526315789473,0.9473684210526315,24.736842105263158,0.34210526315789475,0.23684210526315788,0.0,0.13157894736842105,0.10526315789473684,0.02631578947368421,0.34210526315789475,0.9736842105263158,0.6578947368421053,0.6052631578947368,1.1578947368421053,6.2368421052631575,2.4473684210526314,2.736842105263158,0.8157894736842105,0.18421052631578946,,86.16252415980385,57.358041229441106,33.73640191835302,66.35408683856618,64.88344832103624,73.74095243367424,23.856252067565116,5.05948053539594,1.4070657716893717,0.06339484150193006,,
1,Nathan Collins,Brentford,Brentford,Premier League,Premier League,2024-2025,IRL,2001.0,23.0,DF,DEF,,1,38.0,38,38,3420,2,3,0.05263157894736842,0.05263157894736842,0.06578947368421052,0.07894736842105263,0.04736842105263158,0.4473684210526316,0.15789473684210525,0.2631578947368421,0.7894736842105263,0.21052631578947367,52.23684210526316,2.9210526315789473,0.18421052631578946,3.3421052631578947,0.47368421052631576,284.1842105263158,0.07894736842105263,0.15789473684210525,0.21052631578947367,0.05263157894736842,64.07894736842105,4.447368421052632,1.8157894736842106,33.921052631578945,0.8421052631578947,0.3157894736842105,0.02631578947368421,0.3157894736842105,0.15789473684210525,0.21052631578947367,0.5263157894736842,1.0526315789473684,0.631578947368421,0.8947368421052632,2.026315789473684,5.947368421052632,4.2631578947368425,3.0789473684210527,0.7631578947368421,0.8157894736842105,,85.8833845828959,48.19866447461893,32.576476347677655,60.3728416282522,62.57807533803634,60.91643896694829,42.42487694351121,7.451546868645387,2.4916955220207107,0.12328277511339858,,
2,Wladimiro Falcone,Lecce,Lecce,Serie A,Serie A,2024-2025,ITA,1995.0,29.0,GK,GK,,1,38.0,38,38,3420,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2894736842105263,0.02631578947368421,31.57894736842105,0.5789473684210527,0.0,0.0,0.0,466.2105263157895,0.0,0.02631578947368421,0.0,0.0,34.76315789473684,0.0,0.0,19.13157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.7631578947368421,0.8421052631578947,0.34210526315789475,0.02631578947368421,0.2631578947368421,0.5,61.014358612507216,93.33333333333333,28.57142857142857,62.88659793814433,96.48869152122276,37.735849056603776,0.0,0.001834058063689038,7.182722019643524e-05,0.05714285714285715,68.96529830886897,4.939119912936392
3,Joan García,Espanyol,Espanyol,La Liga,La Liga,2024-2025,ESP,2001.0,23.0,GK,GK,,1,38.0,38,38,3420,0,0,0.0,0.0,0.002631578947368421,0.0,0.0,0.02631578947368421,0.02631578947368421,0.0,0.23684210526315788,0.02631578947368421,33.13157894736842,0.6578947368421053,0.02631578947368421,0.02631578947368421,0.0,512.921052631579,0.0,0.13157894736842105,0.0,0.0,35.473684210526315,0.02631578947368421,0.02631578947368421,20.55263157894737,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.02631578947368421,0.47368421052631576,0.9210526315789473,0.5526315789473685,0.0,0.18421052631578946,0.9210526315789473,71.57397472114558,93.33333333333333,35.06493506493506,62.88659793814433,94.35124703087887,34.305317324185246,0.0,0.11126129201448251,6.692371843839793e-05,0.061038961038961045,72.63550483660383,9.50510580553211
4,Dean Henderson,Crystal Palace,Crystal Palace,Premier League,Premier League,2024-2025,ENG,1997.0,27.0,GK,GK,,1,38.0,38,38,3420,0,0,0.0,0.0,0.0,0.0,0.005263157894736842,0.02631578947368421,0.0,0.07894736842105263,0.10526315789473684,0.0,32.0,0.6052631578947368,0.02631578947368421,0.0,0.0,356.60526315789474,0.0,0.0,0.0,0.0,34.421052631578945,0.02631578947368421,0.02631578947368421,19.763157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.05263157894736842,0.02631578947368421,0.0,0.0,0.5789473684210527,0.6842105263157895,0.2894736842105263,0.0,0.05263157894736842,1.0526315789473684,61.360011354921475,93.33333333333333,25.97402597402597,60.73883161512027,91.78363204491471,36.08490566037736,0.0,0.0018000490399914927,6.956197277893925e-05,0.05194805194805196,67.32732485621233,5.383957728931168
5,Bernd Leno,Fulham,Fulham,Premier League,Premier League,2024-2025,GER,1992.0,32.0,GK,GK,,1,38.0,38,38,3420,0,1,0.0,0.0,0.0,0.02631578947368421,0.002631578947368421,0.0,0.0,0.05263157894736842,0.15789473684210525,0.05263157894736842,36.94736842105263,0.42105263157894735,0.05263157894736842,0.0,0.0,446.7894736842105,0.0,0.0,0.0,0.0,38.921052631578945,0.0,0.0,25.13157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.05263157894736842,0.0,0.02631578947368421,0.2894736842105263,1.3157894736842106,0.23684210526315788,0.0,0.10526315789473684,0.868421052631579,81.77324888340435,93.33333333333333,28.57142857142857,69.07216494845359,90.96199524940619,48.113207547169814,0.0,0.0011725944997356143,5.485664381841738e-05,0.05714285714285715,66.70042589937262,4.571512471492911
6,Obite N'Dicka,Roma,Roma,Serie A,Serie A,2024-2025,CIV,1999.0,24.0,DF,DEF,,1,38.0,38,38,3420,0,1,0.0,0.0,0.02631578947368421,0.02631578947368421,0.018421052631578946,0.47368421052631576,0.13157894736842105,0.21052631578947367,0.868421052631579,0.07894736842105263,65.57894736842105,3.263157894736842,0.07894736842105263,2.8157894736842106,0.13157894736842105,372.0263157894737,0.0,0.10526315789473684,0.0,0.0,74.28947368421052,2.236842105263158,0.6842105263157895,45.63157894736842,0.7631578947368421,0.5,0.0,0.07894736842105263,0.0,0.07894736842105263,0.5263157894736842,0.8421052631578947,0.6842105263157895,0.868421052631579,1.2105263157894737,3.9473684210526314,3.526315789473684,1.605263157894737,0.9736842105263158,0.6052631578947368,,92.06129186366002,35.41312449550895,27.841602192403453,76.63433527172882,55.5441897187927,64.58568362837488,45.74390112322762,4.676530533504051,1.6838947724225364,0.06530839028792006,,
7,Jordan Pickford,Everton,Everton,Premier League,Premier League,2024-2025,ENG,1994.0,30.0,GK,GK,,1,38.0,38,38,3420,0,1,0.0,0.0,0.0,0.02631578947368421,0.010526315789473684,0.0,0.0,0.05263157894736842,0.34210526315789475,0.05263157894736842,41.973684210526315,1.9473684210526316,0.21052631578947367,0.0,0.0,661.078947368421,0.0,0.18421052631578946,0.0,0.0,44.94736842105263,0.0,0.0,26.026315789473685,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.02631578947368421,0.0,0.02631578947368421,0.0,0.7894736842105263,0.9473684210526315,0.13157894736842105,0.0,0.18421052631578946,1.5,66.30989029354127,93.33333333333333,28.57142857142857,57.16963448922212,88.70249406175772,39.77987421383648,0.0,0.0012736991801251892,5.2989650935708476e-05,0.05714285714285715,71.51660102308655,5.569492865777879
8,David Raya,Arsenal,Arsenal,Premier League,Premier League,2024-2025,ESP,1995.0,28.0,GK,GK,,1,38.0,38,38,3420,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02631578947368421,0.13157894736842105,0.02631578947368421,37.18421052631579,1.1842105263157894,0.07894736842105263,0.3684210526315789,0.0,453.2105263157895,0.0,0.07894736842105263,0.0,0.0,38.94736842105263,0.0,0.0,24.236842105263158,0.0,0.0,0.0,0.02631578947368421,0.02631578947368421,0.0,0.02631578947368421,0.0,0.0,0.05263157894736842,0.0,0.5526315789473685,1.0789473684210527,0.34210526315789475,0.02631578947368421,0.2631578947368421,1.736842105263158,73.59618687360067,93.93939393939394,28.57142857142857,62.88659793814433,96.48869152122276,31.446540880503143,0.0,1.3346276543097082,5.686000137999223e-05,0.05714285714285715,71.32593828456902,13.018135795538436
9,Matz Sels,Nott'ham Forest,Nott'ham Forest,Premier League,Premier League,2024-2025,BEL,1992.0,32.0,GK,GK,,1,38.0,38,38,3420,0,0,0.0,0.0,0.0,0.0,0.010526315789473684,0.0,0.0,0.05263157894736842,0.15789473684210525,0.0,26.263157894736842,1.1842105263157894,0.10526315789473684,0.05263157894736842,0.0,431.7631578947368,0.0,0.0,0.0,0.0,29.0,0.0,0.0,13.894736842105264,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.0,0.0,0.0,0.0,0.02631578947368421,0.02631578947368421,0.0,0.0,0.6842105263157895,0.4473684210526316,0.39473684210526316,0.02631578947368421,0.2631578947368421,0.3157894736842105,52.20969635033108,93.33333333333333,28.57142857142857,66.2605435801312,89.60147796252309,43.39622641509434,0.0,0.38064090174894816,0.18597200122915383,0.05714285714285715,71.8421255828227,2.7270443718914374
10,David Soria,Getafe,Getafe,La Liga,La Liga,2024-2025,ESP,1993.0,31.0,GK,GK,,1,38.0,38,38,3420,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21052631578947367,0.0,27.07894736842105,1.3421052631578947,0.02631578947368421,0.02631578947368421,0.0,530.7368421052631,0.0,0.10526315789473684,0.0,0.0,29.42105263157895,0.0,0.0,12.078947368421053,0.0,0.0,0.0,0.0,0.0,0.0,0.07894736842105263,0.10526315789473684,0.10526315789473684,0.02631578947368421,0.0,0.5526315789473685,0.7368421052631579,0.15789473684210525,0.0,0.05263157894736842,1.0263157894736843,50.074469606480974,93.33333333333333,28.57142857142857,73.49042709867452,94.95249406175772,51.82389937106918,0.0,0.19380313006729175,0.00011287134602296967,0.05714285714285715,68.17920571319097,5.242273921803344
11,Mile Svilar,Roma,Roma,Serie A,Serie A,2024-2025,SRB,1999.0,24.0,GK,GK,,1,38.0,38,38,3420,0,0,0.0,0.0,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.15789473684210525,0.0,38.39473684210526,0.39473684210526316,0.0,0.05263157894736842,0.0,445.94736842105266,0.0,0.05263157894736842,0.0,0.0,40.28947368421053,0.02631578947368421,0.02631578947368421,24.842105263157894,0.0,0.0,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.3157894736842105,1.394736842105263,0.15789473684210525,0.0,0.21052631578947367,0.868421052631579,78.84776985781738,93.33333333333333,25.97402597402597,62.88659793814433,89.3670532345955,37.735849056603776,0.0,0.1734358630707955,5.5489162772298505e-05,0.05194805194805196,76.84703091300604,6.066281084676901
12,Bryan Mbeumo,Brentford,Brentford,Premier League,Premier League,2024-2025,CMR,1999.0,24.0,FW,FWD,,1,37.93333333333333,38,38,3414,20,7,0.5272407732864676,0.39543057996485065,0.19771528998242532,0.18453427065026365,0.21880492091388404,2.0826010544815468,0.8963093145869948,1.8453427065026364,3.796133567662566,0.5272407732864676,34.77152899824253,1.6608084358523727,1.5553602811950793,3.717047451669596,9.253075571177504,114.01581722319861,0.3427065026362039,0.23725834797891038,5.325131810193322,0.5008787346221442,46.95079086115993,26.30931458699473,4.428822495606327,28.391915641476277,3.427065026362039,1.818980667838313,1.9771528998242534,2.926186291739895,1.3708260105448156,1.2390158172231986,2.7943760984182777,1.2917398945518455,0.8172231985940247,0.3690685413005273,0.6854130052724078,1.4499121265377857,4.1124780316344465,0.8963093145869948,0.6590509666080844,1.1599297012302285,,66.16057701844548,46.34976981529758,42.47568383507615,62.84937599870977,32.40065301792373,55.51817872918791,64.01652685614123,16.131189620090215,12.059699560520638,0.09835295263369326,,
13,Amir Rrahmani,Napoli,Napoli,Serie A,Serie A,2024-2025,KVX,1994.0,30.0,DF,DEF,,1,37.84444444444444,38,38,3406,1,3,0.026423957721667647,0.026423957721667647,0.07662947739283618,0.07927187316500295,0.029066353493834414,0.7398708162066941,0.07927187316500295,0.2906635349383441,1.1098062243100413,0.10569583088667059,73.48502642395773,5.337639459776865,0.23781561949500882,4.967704051673517,0.052847915443335294,454.7827363476219,0.052847915443335294,0.3963593658250147,0.026423957721667647,0.0,83.28831473869643,3.1180270111567823,0.8984145625367,49.12213740458016,0.7927187316500294,0.5020551967116853,0.0,0.1585437463300059,0.10569583088667059,0.1585437463300059,0.23781561949500882,1.0305343511450382,0.8191426893716971,0.7134468584850265,1.136230182031709,4.729888432178509,3.5672342924251326,3.2765707574867884,1.1098062243100413,0.42278332354668235,,90.98436124789586,53.77316365260103,15.251706878613073,75.89065472270633,68.5994855357414,62.918748356560606,49.41313973827675,7.429910617759479,1.6247792847003228,0.098121971791099,,
14,Mohamed Salah,Liverpool,Liverpool,Premier League,Premier League,2024-2025,EGY,1992.0,32.0,FW,FWD,,1,37.455555555555556,38,38,3371,29,18,0.7742509641056067,0.5339661821417977,0.4859092257490359,0.4805695639276179,0.37911598932067636,3.2304954019578758,1.3349154553544942,2.3494512014239097,4.512014239098191,0.7208543458914268,33.719964402254526,1.4150103826757638,2.4829427469593592,3.8445565114209432,13.028774844259864,104.63067339068526,0.5072678730347078,0.08009492732126965,2.109166419460101,0.40047463660634824,45.25363393651735,29.875407890833582,9.504598042123998,30.676357164046276,4.111539602491842,1.5752002373183032,3.3639869474933253,3.657668347671314,1.5485019282112134,1.7887867101750223,3.0970038564224267,0.5606644912488876,0.2936814001779887,0.24028478196380895,0.3203797092850786,0.13349154553544942,2.696529219816078,0.24028478196380895,0.6674577276772471,1.0412340551765056,,70.6421106500503,42.233483997625896,41.071266116960125,55.10042528786698,40.09930473075758,44.38214973383169,66.99919627459138,16.106107810332116,13.38127128756336,0.14849933423205114,,
15,Moisés Caicedo,Chelsea,Chelsea,Premier League,Premier League,2024-2025,ECU,2001.0,22.0,"MF,DF",MID,DEF,1,37.233333333333334,38,38,3351,1,2,0.02685765443151298,0.02685765443151298,0.021486123545210387,0.05371530886302596,0.08057296329453895,0.5371530886302596,0.08057296329453895,0.8057296329453895,2.632050134288272,0.2417188898836168,58.92569382273948,6.31154879140555,0.9131602506714414,5.774395702775291,0.9937332139659802,240.34914950760967,0.3222918531781558,0.34914950760966873,0.2685765443151298,0.05371530886302596,69.26589077887198,12.784243509400179,0.40286481647269473,37.84243509400179,1.1548791405550582,1.0205908683974934,0.05371530886302596,1.7188898836168307,0.7788719785138765,0.6714413607878245,0.9937332139659802,3.0617726051924796,1.9606087735004476,1.316025067144136,1.316025067144136,1.611459265890779,6.150402864816472,0.9400179051029544,1.8800358102059087,1.557743957027753,,89.6192341780532,45.24313735871033,20.34410553500384,63.59741054495627,65.0775799199301,61.262315270935964,61.33067657236446,10.93692481792487,3.0669436869954416,0.055860961820339214,,
