player_id,player_name,cluster_id,pc1,pc2
0,Federico Baschirotto,0,-4.014011095438738,-1.0757299299675553
1,Nathan Collins,0,-2.573408759201197,0.2659948216131674
6,Obite N'Dicka,2,-2.2025734461996676,1.2026219794649895
13,Amir Rrahmani,2,-2.4743922445911415,2.6952398058034777
16,Max Kilman,0,-2.4163945723547684,0.7934537726609004
17,Milos Kerkez,3,3.2128695556228193,-0.35182416277012285
18,Dan Burn,0,-3.3439744618310403,0.037424791008109276
19,Giovanni Di Lorenzo,1,1.4768206888906226,1.1373599028167947
21,Nikola Milenković,0,-3.9638115259140307,-2.0429153237558926
23,Virgil van Dijk,2,-2.7466954438299136,3.0623928008044636
24,Florian Lejeune,0,-1.9285626867475314,0.41328313749066176
25,Cristhian Mosquera,2,-1.7446868205935004,0.9512915592823185
28,Joško Gvardiol,3,1.7149123998036246,3.380447384080395
32,Sebastiano Luperto,0,-1.921022658203676,-0.6139721275535578
37,Daniel Muñoz,4,2.865493372545765,-1.3812260399630638
38,Emmanuel Gyasi,1,0.8445840259738459,-2.5119520366350376
39,Antonio Raillo,0,-3.1739930136095764,-0.07591598113745195
45,Murillo,0,-1.7034121366177297,-1.2239519618276187
47,Angeliño,3,2.521655613813084,0.11197817189505899
48,Antonee Robinson,4,3.100644903404104,0.16776398979231585
49,Jackson Tchatchoua,1,2.3250333255143603,-2.0140906914696832
51,Aaron Wan-Bissaka,3,3.200820980482682,0.5908255704184603
52,Omar El Hilali,4,-0.3189609061167004,-1.7215362331429387
53,Levi Colwill,2,-1.713696142666852,1.7172883534805747
54,Gianluca Mancini,2,-0.6983930387976429,0.6305980175937492
56,Jay Idzes,0,-1.6291471355856448,-1.1048417249758238
58,Dara O'Shea,0,-3.549968073056736,-1.4726485285945097
59,Maxence Lacroix,0,-2.7134144387555854,-1.6857047629200594
61,Rayan Aït-Nouri,3,3.6699437593820776,-0.33113721606297264
62,Illia Zabarnyi,2,-1.8640402243683343,0.6817540224632394
64,Keane Lewis-Potter,1,2.864980482949169,-1.001543779287176
66,Tyrick Mitchell,1,2.411741090542261,-2.1656193010767226
68,Aarón Martín,1,3.5612495171026124,-1.4324259181130732
69,Vitaliy Mykolenko,1,0.5853441770996286,-1.7319482489025826
70,Jesús Areso,1,2.956586458796597,-0.7939313414573204
71,Calvin Bassey,2,-1.0666465476760232,1.321395481634305
72,Catena,0,-3.010510538644637,-1.0057389467146367
73,Andrei Ratiu,3,4.168042143167802,0.26881941579854085
79,Danilho Doekhi,0,-1.9283756108426915,-1.327367104401641
83,Jordan Lefort,0,-2.7022390848144764,-1.0763724023632988
84,Patrick Mainka,0,-3.0926114102557065,-0.03869866253797534
89,Gabriele Zappa,1,1.8619789075788644,-0.45195042694971416
91,Marc Guéhi,0,-1.165290889235004,0.07226107237653087
95,Johan Vásquez,0,-1.7434379171896048,-0.1892813003608533
96,William Saliba,2,-1.6836152201329,2.573308105429142
98,César Tárrega,0,-2.8125897103012716,-0.8103059529768406
100,Dodô,3,4.438107766130334,0.4253715935370528
102,Sam Beukema,2,-1.2846186464605949,1.360363250577415
104,Ola Aina,1,2.126755334194371,-0.8538604118659221
106,Marc Cucurella,1,1.0464352898794718,0.12838972765230494
107,Enzo Boyomo,0,-1.7354538918373952,-0.6780510309450745
109,Luca Ranieri,0,-1.749391619307462,-0.7088409158638083
114,Marash Kumbulla,0,-3.4568221257335323,-1.7982753957618083
115,Omar Alderete,0,-2.1166193580703836,-1.8924627757801638
119,Jonathan Tah,2,-2.722962020429868,3.19871284128829
120,Hauke Wahl,2,-1.3584639717558464,0.6346222421389363
123,Jaka Bijol,0,-2.9813966992233913,-0.4490650225156665
126,Jan Paul van Hecke,2,-0.7896361600782811,2.8262155396112325
127,Sergi,0,-2.7727404212093085,-1.1539921550228072
130,Enrico Del Prato,0,-1.7913230668018942,-1.2660630957449654
132,Sergi Cardona,4,1.3434242882403373,-1.3377285708647522
133,Jeffrey Gouweleeuw,2,-1.3295434851757155,0.6683979184367448
134,Carmona,4,0.8660730629162318,0.10387392548653662
137,Ezri Konsa,2,-1.8471503589518659,0.5180362370123239
138,Fabian Schär,2,-0.7718407562680292,0.27429722438765464
139,Diego Coppola,0,-4.515860216701522,-2.170407229312866
140,James Tarkowski,0,-3.242620535699273,-1.3506709245627653
141,Nahuel Tenaglia,4,1.3965049146779254,-1.7646016631028199
143,Kyle Walker-Peters,3,3.1424724982388854,0.6735408151657372
144,James Justin,1,-0.21873322323362265,-1.1437674038260461
148,Iglesias,1,1.7097723621168015,-3.463796798552542
150,Nélson Semedo,1,2.382026491739622,-1.1843906577072365
164,Giuseppe Pezzella,1,2.686041232899292,-2.36767594529201
166,Emanuele Valeri,1,2.7568699016161333,-2.198606890752932
167,Leandro Cabrera,0,-2.82671998479651,-1.7620044170503055
168,Mitchell Weiser,3,4.288572034800408,-0.20943297332498018
177,Saúl Coco,0,-2.751610362540249,-1.231884267560517
179,Giorgos Kyriakopoulos,1,3.176498637599996,-1.335655740376977
182,Valentino Livramento,3,2.291299340488192,1.2876073905699994
184,Noussair Mazraoui,4,1.0472495789971215,0.637457372766585
187,Eric Smith,1,0.7634381747176436,-0.22536950948185727
188,Taylor Harwood-Bellis,2,-1.3558767936202745,1.1687960094357421
194,Diego Rico,4,2.211149029137402,-1.1486178743501028
195,Wout Faes,0,-2.4950276005511087,-0.7166551775023903
196,Diogo Dalot,4,2.117751641375856,0.5590931843693434
204,Ko Itakura,0,-2.3130781394157407,0.20213968374874305
207,Daley Blind,2,1.6824044040018722,3.641043130699107
209,Philipp Lienhart,2,-1.296267481971573,1.8363112324285267
